patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00027019,0.00000058,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000181,0.00000001,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00773586,0.00001037,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.17748837,0.00027228,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00045649,0.00000088,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00024223,0.00000047,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00037527,0.00000067,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00703603,0.00000839,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00051466,0.00000093,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000123,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000062,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00012422,0.00000067,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00000701,0.00000003,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00017617,0.00000041,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00009159,0.00000018,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.98701465,0.00187348,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.02230792,0.00003518,24,16,0,0,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000086,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000275,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00000131,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000043,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000085,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000143,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000024,completed,0.00000691,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000025,completed,0.00001537,0.00000012,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000026,completed,0.04078547,0.00006841,16,18,0,0,0.300000,0.300000,0,
ab_coarse_000027,completed,0.84900385,0.00267747,16,16,3,1,0.300000,0.300000,0,
ab_coarse_000028,completed,0.00000046,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000029,completed,0.00000000,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000030,completed,0.00000354,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000031,completed,0.00000313,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000032,completed,0.00000120,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000033,completed,0.00000154,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000034,completed,0.00000034,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000035,completed,0.00000075,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000036,completed,0.00000360,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000037,completed,0.91604602,0.00149720,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000038,completed,0.98245418,0.00304274,16,16,4,1,0.300000,0.300000,0,
ab_coarse_000039,completed,0.00000009,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000040,completed,0.00000026,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000041,completed,0.00000089,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000042,completed,0.00000081,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000043,completed,0.00000133,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000044,completed,0.00000161,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000045,completed,0.00000022,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000046,completed,0.00000182,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000047,completed,0.00000039,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000048,completed,0.00029254,0.00000059,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000049,completed,0.01530870,0.00001604,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000050,completed,0.99548692,0.00149468,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000051,completed,0.96335167,0.00123398,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000052,completed,0.00000062,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000053,completed,0.00000101,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000054,completed,0.00000077,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000055,completed,0.00000122,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000056,completed,0.00000188,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000057,completed,0.00000192,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000058,completed,0.00000080,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000059,completed,0.00000186,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000060,completed,0.00006931,0.00000015,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000061,completed,0.00176516,0.00000250,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000062,completed,0.99325490,0.00114785,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000063,completed,0.00059955,0.00000252,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000064,completed,0.00000133,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000065,completed,0.00000075,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000066,completed,0.00000064,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000067,completed,0.00000199,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000068,completed,0.00000750,0.00000008,18,16,0,0,0.300000,0.300000,0,
ab_coarse_000069,completed,0.00000072,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000070,completed,0.00000124,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000071,completed,0.00000292,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000072,completed,0.00002694,0.00000015,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000073,completed,0.00066668,0.00000113,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000074,completed,0.97361040,0.00151713,16,16,2,1,0.300000,0.300000,0,
ab_coarse_000075,completed,0.00000048,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000076,completed,0.00000265,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000077,completed,0.00000064,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000078,completed,0.00000000,0.00000000,0,31,0,0,0.300000,0.300000,0,
ab_coarse_000079,completed,0.00000094,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000080,completed,0.00000663,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000081,completed,0.00000109,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000082,completed,0.00000522,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000083,completed,0.00000138,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000084,completed,0.00000163,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000085,completed,0.69603038,0.00082419,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000086,completed,0.97314632,0.00143002,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000087,completed,0.01073445,0.00002927,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000088,completed,0.00000049,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000089,completed,0.00000469,0.00000002,14,18,0,0,0.300000,0.300000,0,
ab_coarse_000090,completed,0.00000026,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000091,completed,0.00000272,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000092,completed,0.00000810,0.00000003,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000093,completed,0.00000364,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000094,completed,0.00000239,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000095,completed,0.00000325,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000096,completed,0.00000143,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000097,completed,0.00049314,0.00000100,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000098,completed,0.00051498,0.00000093,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000099,completed,0.56809801,0.00059795,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000100,completed,0.82780701,0.00120620,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000101,completed,0.00000941,0.00000006,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000102,completed,0.00000001,0.00000000,17,20,0,0,0.300000,0.300000,0,
ab_coarse_000103,completed,0.00000395,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000104,completed,0.00001240,0.00000005,14,16,0,0,0.300000,0.300000,0,
