Agency,Fire_Name,Hectares__Ha_,Latitude,Longitude,ObjectId,Stage_of_Control,Start_Date,Time_Zone,latitude,longitude,response_type
QC,2026_QC_398,35,52.9392,-72.0861,3416,OC,1782683160000,,52.9392,-72.0861,MON
QC,2026_QC_390,126.4,52.2389,-72.285,3417,OC,1782242040000,,52.2389,-72.285,MON
QC,2026_QC_400,51.4,52.7672,-67.6742,3419,OC,1782771000000,,52.7672,-67.6742,MON
QC,2026_QC_399,800,52.7144,-70.5256,3420,OC,1782258360000,,52.7144,-70.5256,MON
QC,2026_QC_387,25,51.5119,-72.7444,3421,OC,1782582180000,,51.5119,-72.7444,MON
QC,2026_QC_389,28.2,51.8578,-71.9022,3422,OC,1782684180000,,51.8578,-71.9022,MON
QC,2026_QC_386,30,51.2725,-72.6294,3423,OC,1782233220000,,51.2725,-72.6294,MON
YT,2026_YT_2026MA004,80,63.2732,-134.3952,3424,OC,1782844920000,,63.2732,-134.3952,MOD
QC,2026_QC_391,27.9,49.9258,-73.3181,3425,UC,1782842880000,,49.9258,-73.3181,FUL
QC,2026_QC_388,160,51.7753,-71.8631,3426,OC,1782684060000,,51.7753,-71.8631,MON
QC,2026_QC_392,50,52.45,-72.7472,3427,OC,1782143640000,,52.45,-72.7472,MON
QC,2026_QC_395,800,52.6903,-72.1147,3428,OC,1782683760000,,52.6903,-72.1147,MON
QC,2026_QC_393,60,52.7244,-73.1356,3429,OC,1782675600000,,52.7244,-73.1356,MON
NT,2026_NT_VQ029-26,10000,64.1066,-125.3018,3430,OC,1782607020000,,64.1066,-125.3018,MON
SK,2026_SK_26BN-SMITH,2,56.5831,-108.4828,3431,OC,1782853140000,,56.5831,-108.4828,MOD
QC,2026_QC_396,650,52.8033,-72.0744,3432,OC,1782682980000,,52.8033,-72.0744,MON
NT,2026_NT_VQ030-26,50,63.6746,-126.07,3433,OC,1782691200000,,63.6746,-126.07,MON
NT,2026_NT_VQ037-26,10000,65.4961,-119.3748,3434,OC,1782840660000,,65.4961,-119.3748,MON
QC,2026_QC_404,195,52.6331,-67.9689,3435,OC,1782835200000,,52.6331,-67.9689,MON
NT,2026_NT_VQ034-26,1200,65.498,-118.9966,3436,OC,1782657840000,,65.498,-118.9966,MON
QC,2026_QC_407,22.1,52.3947,-66.7133,3437,OC,1782837000000,,52.3947,-66.7133,MON
QC,2026_QC_411,91,51.6483,-65.6567,3438,UC,1782768120000,,51.6483,-65.6567,MON
NT,2026_NT_VQ033-26,2000,65.5688,-119.3054,3439,OC,1782343200000,,65.5688,-119.3054,MON
NT,2026_NT_VQ036-26,1,65.6847,-118.8143,3440,OC,1782838620000,,65.6847,-118.8143,MON
ON,2026_ON_FOR_FIRE_014,1480,48.8934,-90.9869,3441,OC,1782854640000,,48.8934,-90.9869,FUL
QC,2026_QC_403,417.3,52.8283,-67.8217,3442,OC,1782835200000,,52.8283,-67.8217,MON
ON,2026_ON_THU_FIRE_030,5.5,48.6825,-90.8263,3443,UC,1782853920000,,48.6825,-90.8263,FUL
QC,2026_QC_410,202,51.9608,-65.8072,3444,BH,1782772980000,,51.9608,-65.8072,MON
QC,2026_QC_405,9.5,50.1319,-75.3692,3445,UC,1782835200000,,50.1319,-75.3692,FUL
NT,2026_NT_VQ035-26,200,65.5519,-118.851,3446,OC,1782270000000,,65.5519,-118.851,MON
QC,2026_QC_409,1,50.9933,-74.1025,3448,OC,1782684000000,,50.9933,-74.1025,MON
QC,2026_QC_406,1.7,52.6731,-67.9689,3449,OC,1782839400000,,52.6731,-67.9689,MON
AB,2026_AB_HWF-094-2026,13200,59.4711,-114.7088,3450,OC,1782389220000,,59.4711,-114.7088,MON
PC,2026_PC_2026WB21,0.3,60.0272,-114.4063,3451,UC,1782867660000,,60.0272,-114.4063,FUL
QC,2026_QC_408,231.9,52.3406,-66.9942,3452,OC,1782839580000,,52.3406,-66.9942,MON
NT,2026_NT_VQ038-26,250,65.3805,-119.2919,3453,OC,1782859440000,,65.3805,-119.2919,MON
ON,2026_ON_SLK_FIRE_056,43,52.0886,-89.504,3454,OC,1782859440000,,52.0886,-89.504,MON
ON,2026_ON_FOR_FIRE_015,46,48.5429,-91.4154,3455,OC,1782861780000,,48.5429,-91.4154,MON
NT,2026_NT_SS029-26,60,60.265,-103.3907,3456,OC,1782485640000,,60.265,-103.3907,MON
NT,2026_NT_SS027-26,62,60.2065,-103.0126,3457,OC,1782761580000,,60.2065,-103.0126,MON
NT,2026_NT_VQ039-26,600,64.8075,-121.5227,3458,OC,1782656520000,,64.8075,-121.5227,MON
NT,2026_NT_SS030-26,50,60.7348,-103.6651,3459,OC,1782684120000,,60.7348,-103.6651,MON
NT,2026_NT_VQ040-26,2000,64.5159,-120.9313,3460,OC,1782656760000,,64.5159,-120.9313,MON
NT,2026_NT_SS031-26,156,60.9446,-105.3483,3461,OC,1782328320000,,60.9446,-105.3483,MON
QC,2026_QC_412,25.4,50.4,-75.1244,3462,BH,1782856800000,,50.4,-75.1244,FUL
NT,2026_NT_VQ041-26,500,64.9209,-119.9816,3465,OC,1782764760000,,64.9209,-119.9816,MON
NT,2026_NT_SS028-26,57,60.3718,-102.9532,3466,OC,1782782160000,,60.3718,-102.9532,MON
MB,2026_MB_MB-NO149,760,56.6078,-97.8586,3468,OC,1782795600000,,56.6078,-97.8586,MON
NL,2026_NL_631,246,53.19,-57.71,3470,OC,1782700200000,,53.19,-57.71,FUL
NL,2026_NL_628,1723,53.6475,-64.5819,3472,OC,1782700200000,,53.6475,-64.5819,FUL
MB,2026_MB_MB-NO148,40,56.8967,-97.4781,3473,OC,1782795600000,,56.8967,-97.4781,MON
MB,2026_MB_MB-NO150,110,56.8958,-97.4772,3474,OC,1782795600000,,56.8958,-97.4772,MON
MB,2026_MB_MB-NO147,1500,59.9358,-99.6858,3476,OC,1782795600000,,59.9358,-99.6858,MON
MB,2026_MB_MB-NO146,938,58.0242,-98.0069,3477,OC,1782795600000,,58.0242,-98.0069,MON
AB,2026_AB_HWF-096-2026,277,58.8547,-117.6375,3479,OC,1782898080000,,58.8547,-117.6375,FUL
NT,2026_NT_VQ043-26,100,65.0187,-119.8168,3481,OC,1782348300000,,65.0187,-119.8168,MON
QC,2026_QC_416,0.1,56.9258,-66.5569,3482,OC,1782752760000,,56.9258,-66.5569,MON
NT,2026_NT_VQ044-26,150,64.5842,-124.5183,3483,OC,1782765180000,,64.5842,-124.5183,MON
NT,2026_NT_VQ042-26,600,65.0766,-119.9248,3484,OC,1782656040000,,65.0766,-119.9248,MON
QC,2026_QC_417,28,53.2217,-68.44,3485,OC,1782835200000,,53.2217,-68.44,MON
QC,2026_QC_413,-1,50.0783,-79.1022,3486,OC,1782594600000,,50.0783,-79.1022,MON
QC,2026_QC_415,0.1,55.5803,-65.7311,3488,OC,1782777780000,,55.5803,-65.7311,MON
QC,2026_QC_418,0.1,56.8514,-67.1125,3489,OC,1782763620000,,56.8514,-67.1125,MON
QC,2026_QC_441,0.1,53.8478,-70.9031,3491,OC,1782680760000,,53.8478,-70.9031,MON
MB,2026_MB_MB-NO151,1502.3,56.9306,-95.2094,3492,OC,1782795600000,,56.9306,-95.2094,MON
QC,2026_QC_431,0.1,55.4194,-70.1978,3494,OC,1782744600000,,55.4194,-70.1978,MON
QC,2026_QC_439,65.3,53.5272,-68.8592,3495,OC,1782817980000,,53.5272,-68.8592,MON
QC,2026_QC_421,0.1,56.1703,-69.2275,3496,OC,1782763320000,,56.1703,-69.2275,MON
QC,2026_QC_430,42,55.365,-64.8175,3497,OC,1782489780000,,55.365,-64.8175,MON
QC,2026_QC_443,126.5,52.9144,-69.6694,3498,OC,1782817800000,,52.9144,-69.6694,MON
QC,2026_QC_442,0.1,53.7736,-70.6347,3502,OC,1782680520000,,53.7736,-70.6347,MON
QC,2026_QC_434,11.9,53.0189,-68.07,3503,OC,1782763740000,,53.0189,-68.07,MON
ON,2026_ON_NIP_FIRE_021,5,52.7949,-86.5468,3504,OC,1782922440000,,52.7949,-86.5468,MON
QC,2026_QC_424,0.1,55.8775,-69.2614,3505,OC,1782766440000,,55.8775,-69.2614,MON
QC,2026_QC_427,0.1,55.7244,-69.8128,3506,OC,1782749640000,,55.7244,-69.8128,MON
QC,2026_QC_440,26,52.9056,-69.5072,3508,OC,1782837000000,,52.9056,-69.5072,MON
QC,2026_QC_438,177.2,53.4439,-68.6367,3509,OC,1782817800000,,53.4439,-68.6367,MON
QC,2026_QC_435,86.1,52.7164,-68.8156,3510,OC,1782765540000,,52.7164,-68.8156,MON
QC,2026_QC_444,139.2,53.5603,-69.6653,3511,OC,1782680760000,,53.5603,-69.6653,MON
QC,2026_QC_436,15,53.4036,-68.0653,3512,OC,1782817200000,,53.4036,-68.0653,MON
QC,2026_QC_420,40.9,55.3292,-68.4542,3513,OC,1782743220000,,55.3292,-68.4542,MON
QC,2026_QC_428,40,55.1211,-67.5928,3514,OC,1782491280000,,55.1211,-67.5928,MON
QC,2026_QC_423,5.5,51.6758,-76.9306,3515,OC,1782842400000,,51.6758,-76.9306,MON
QC,2026_QC_425,0.1,53.7,-72.3575,3516,OC,1782675960000,,53.7,-72.3575,MON
MB,2026_MB_MB-NO153,75,56.4044,-91.2383,3517,OC,1782882000000,,56.4044,-91.2383,MON
QC,2026_QC_429,0.1,55.045,-63.8933,3518,OC,1782834900000,,55.045,-63.8933,MON
QC,2026_QC_426,14,51.6867,-78.1806,3519,OC,1782492480000,,51.6867,-78.1806,MON
QC,2026_QC_437,132,53.3819,-68.5472,3520,OC,1782817800000,,53.3819,-68.5472,MON
SK,2026_SK_26LA-PINK,5,56.6638,-104.2516,3522,OC,1782934560000,,56.6638,-104.2516,MOD
QC,2026_QC_446,1.2,53.0397,-68.86,3523,OC,1782843000000,,53.0397,-68.86,MON
QC,2026_QC_455,50,52.0119,-62.7633,3524,OC,1782835200000,,52.0119,-62.7633,MON
SK,2026_SK_26LA-TAVISH,1,55.8497,-105.3328,3527,UC,1782933480000,,55.8497,-105.3328,MOD
SK,2026_SK_26LA-HOGAN,4,55.6002,-106.1095,3528,OC,1782937980000,,55.6002,-106.1095,FUL
QC,2026_QC_449,2.5,52.4736,-68.2131,3529,OC,1782837600000,,52.4736,-68.2131,MON
QC,2026_QC_461,0.2,53.0047,-70.9942,3530,OC,1782648000000,,53.0047,-70.9942,MON
QC,2026_QC_460,0.1,53.1094,-70.4792,3531,OC,1782820800000,,53.1094,-70.4792,MON
QC,2026_QC_453,0.1,53.1625,-71.1578,3532,OC,1782820800000,,53.1625,-71.1578,MON
QC,2026_QC_448,78.3,52.2564,-68.3786,3533,OC,1782817800000,,52.2564,-68.3786,MON
SK,2026_SK_26LA-CALLIN,50,56.708,-104.6576,3534,OC,1782937020000,,56.708,-104.6576,MOD
QC,2026_QC_457,0.1,54.1992,-69.9569,3535,OC,1782907200000,,54.1992,-69.9569,MON
QC,2026_QC_447,16,52.8478,-69.4019,3536,OC,1782928500000,,52.8478,-69.4019,MON
QC,2026_QC_458,0.1,53.5675,-70.3636,3537,OC,1782820800000,,53.5675,-70.3636,MON
QC,2026_QC_450,2.6,53.4681,-70.1078,3538,OC,1782758460000,,53.4681,-70.1078,MON
QC,2026_QC_456,0.1,53.22,-71.2808,3539,OC,1782820800000,,53.22,-71.2808,MON
MB,2026_MB_MB-NO152,88,59.4486,-98.1053,3540,OC,1782882000000,,59.4486,-98.1053,MON
QC,2026_QC_451,0.1,53.1319,-72.1292,3541,OC,1782820800000,,53.1319,-72.1292,MON
QC,2026_QC_462,0.1,53.3703,-70.7942,3542,OC,1782820800000,,53.3703,-70.7942,MON
QC,2026_QC_454,0.1,53.25,-71.0728,3543,OC,1782820800000,,53.25,-71.0728,MON
QC,2026_QC_445,367.7,52.8622,-69.3661,3544,OC,1782817200000,,52.8622,-69.3661,MON
QC,2026_QC_464,0,56.8686,-65.5225,3545,OC,1782921600000,,56.8686,-65.5225,MON
QC,2026_QC_452,0.1,53.1636,-71.6825,3546,OC,1782820800000,,53.1636,-71.6825,MON
ON,2026_ON_WAW_FIRE_004,8,49.454,-85.5068,3547,BH,1782938700000,,49.454,-85.5068,FUL
SK,2026_SK_26BN-BEAR,0.5,56.1858,-108.3992,3548,OC,1782933180000,,56.1858,-108.3992,MOD
QC,2026_QC_463,171.4,54.8211,-70.9594,3549,OC,1782921600000,,54.8211,-70.9594,MON
QC,2026_QC_459,0.1,53.4958,-70.6275,3550,OC,1782820800000,,53.4958,-70.6275,MON
AB,2026_AB_PWF-048-2026,8.04,57.7017,-117.5022,3551,UC,1782925680000,,57.7017,-117.5022,FUL
QC,2026_QC_465,63,51.6419,-78.5747,3552,OC,1782928800000,,51.6419,-78.5747,MON
MB,2026_MB_MB-NO154,1124,57.8792,-100.2264,3553,OC,1782882000000,,57.8792,-100.2264,MON
MB,2026_MB_MB-NO156,310,58.3133,-99.0906,3554,OC,1782882000000,,58.3133,-99.0906,MON
ON,2026_ON_SLK_FIRE_057,9,51.5459,-89.6067,3555,OC,1782943020000,,51.5459,-89.6067,FUL
MB,2026_MB_MB-NO155,130,57.3439,-100.5031,3556,OC,1782882000000,,57.3439,-100.5031,MON
MB,2026_MB_MB-NO158,140,58.7042,-96.9983,3557,OC,1782882000000,,58.7042,-96.9983,MON
MB,2026_MB_MB-NO157,100,58.5486,-98.0042,3558,OC,1782882000000,,58.5486,-98.0042,MON
SK,2026_SK_26BN-MOOSE,20,56.4705,-108.3902,3559,OC,1782946260000,,56.4705,-108.3902,MOD
BC,2026_BC_2026-V60737,0.1,49.0077,-123.6854,3561,UC,1782969000000,,49.0077,-123.6854,FUL
AB,2026_AB_HWF-097-2026,38,59.6066,-115.7321,3562,BH,1782982200000,,59.6066,-115.7321,FUL
MB,2026_MB_MB-NO159,10,56.5744,-91.2367,3563,OC,1782882000000,,56.5744,-91.2367,MON
QC,2026_QC_466,308.5,51.5486,-61.0139,3567,OC,1783004100000,,51.5486,-61.0139,MON
QC,2026_QC_469,15.6,53.745,-76.1242,3568,OC,1782932400000,,53.745,-76.1242,MON
MB,2026_MB_MB-NO160,25,58.4578,-93.69,3570,OC,1782968400000,,58.4578,-93.69,MON
QC,2026_QC_467,0,50.91,-78.2003,3571,OC,1783003980000,,50.91,-78.2003,MON
BC,2026_BC_2026-V10742,100,49.8934,-121.4548,3572,OC,1782994860000,,49.8934,-121.4548,MON
NT,2026_NT_FS032-26,1,61.5054,-121.7542,3575,OC,1782609300000,,61.5054,-121.7542,MON
QC,2026_QC_474,2223.3,50.4986,-78.39,3577,OC,1782993600000,,50.4986,-78.39,MON
QC,2026_QC_473,4136.3,50.5758,-78.5522,3578,OC,1782907200000,,50.5758,-78.5522,MON
ON,2026_ON_TIM_FIRE_016,10,47.4002,-81.7329,3579,BH,1783018620000,,47.4002,-81.7329,FUL
MB,2026_MB_MB-NO163,57.7,57.6369,-100.5331,3580,OC,1782968400000,,57.6369,-100.5331,MON
ON,2026_ON_NIP_FIRE_022,0.2,49.7528,-88.0293,3581,BH,1783029300000,,49.7528,-88.0293,FUL
MB,2026_MB_MB-NO161,26,57.3278,-99.4956,3584,OC,1782968400000,,57.3278,-99.4956,MON
NT,2026_NT_FS033-26,2,62.5925,-123.0974,3585,OC,1782852300000,,62.5925,-123.0974,MON
SK,2026_SK_26BN-LYNX,11,56.352,-108.934,3586,OC,1783031460000,,56.352,-108.934,MOD
NT,2026_NT_FS034-26,0.75,62.8667,-123.1,3588,OC,1782692520000,,62.8667,-123.1,MON
MB,2026_MB_MB-NO162,5,57.5172,-99.4953,3589,OC,1782968400000,,57.5172,-99.4953,MON
BC,2026_BC_2026-G40743,0.009,54.0842,-124.0178,3590,UC,1783023780000,,54.0842,-124.0178,FUL
NL,2026_NL_629,98,53.5904,-64.2635,3591,OC,1782700200000,,53.5904,-64.2635,FUL
MB,2026_MB_MB-NO167,10,56.5672,-91.8433,3594,OC,1783054800000,,56.5672,-91.8433,MON
QC,2026_QC_477,425.5,51.4906,-63.8878,3595,OC,1782835200000,,51.4906,-63.8878,MON
QC,2026_QC_476,261.4,52.0578,-59.1286,3597,OC,1782749340000,,52.0578,-59.1286,MON
NT,2026_NT_VQ045-26,1300,63.5828,-125.8396,3598,OC,1782765840000,,63.5828,-125.8396,MON
QC,2026_QC_478,55.5,50.7289,-61.1947,3599,OC,1782835200000,,50.7289,-61.1947,MON
MB,2026_MB_MB-NO164,1,56.6406,-101.6081,3600,OC,1783054800000,,56.6406,-101.6081,MOD
QC,2026_QC_475,65.4,50.5164,-78.0989,3601,OC,1782923100000,,50.5164,-78.0989,MON
MB,2026_MB_MB-NO166,18,57.3253,-95.7256,3602,OC,1783054800000,,57.3253,-95.7256,MON
QC,2026_QC_479,18,50.7897,-61.1539,3603,OC,1782729900000,,50.7897,-61.1539,MON
AB,2026_AB_LWF-076-2026,0.1,55.9205,-110.7318,3604,UC,1783072500000,,55.9205,-110.7318,FUL
AB,2026_AB_MWF-039-2026,1.9,59.2397,-111.3493,3605,UC,1783072800000,,59.2397,-111.3493,FUL
ON,2026_ON_COC_FIRE_026,71,49.4581,-83.802,3606,OC,1783087740000,,49.4581,-83.802,FUL
AB,2026_AB_MWF-040-2026,3.5,59.2566,-111.3968,3607,BH,1783073520000,,59.2566,-111.3968,FUL
AB,2026_AB_MWF-041-2026,0.5,59.3757,-111.4208,3609,BH,1783073700000,,59.3757,-111.4208,FUL
SK,2026_SK_26LA-BAY,0.2,55.6922,-105.6378,3612,OC,1783114080000,,55.6922,-105.6378,MOD
QC,2026_QC_483,7.2,51.1803,-76.9153,3613,OC,1782993600000,,51.1803,-76.9153,MON
SK,2026_SK_26SR-BANNOCK,5,58.9021,-102.8571,3614,OC,1783103400000,,58.9021,-102.8571,MOD
ON,2026_ON_FOR_FIRE_017,0.9,48.6302,-91.7113,3615,UC,1783112520000,,48.6302,-91.7113,FUL
ON,2026_ON_CHA_FIRE_009,0.6,46.3831,-83.0859,3616,BH,1783115640000,,46.3831,-83.0859,FUL
NT,2026_NT_VQ047-26,50,64.0587,-126.4,3617,OC,1782658680000,,64.0587,-126.4,MON
NT,2026_NT_VQ046-26,136,63.7217,-126.2057,3618,OC,1782691200000,,63.7217,-126.2057,MON
NB,2026_NB_2026298,16,47.9468,-67.8422,3619,BH,1783108740000,,47.9468,-67.8422,FUL
NT,2026_NT_VQ049-26,15,64.3053,-123.3517,3621,OC,1782610440000,,64.3053,-123.3517,MON
NT,2026_NT_VQ048-26,1,64.3711,-126.6057,3623,OC,1782607200000,,64.3711,-126.6057,MON
NT,2026_NT_VQ051-26,180,65.7123,-124.5665,3625,OC,1782924900000,,65.7123,-124.5665,MON
NT,2026_NT_ZF028-26,5,63.1468,-116.424,3626,OC,1783124700000,,63.1468,-116.424,FUL
NT,2026_NT_VQ050-26,1300,65.7345,-124.5132,3627,OC,1782655740000,,65.7345,-124.5132,MON
NT,2026_NT_VQ052-26,50,65.8674,-125.4787,3628,OC,1782924720000,,65.8674,-125.4787,MON
BC,2026_BC_2026-G80747,2.26,57.74,-120.14,3629,BH,1783098900000,,57.74,-120.14,FUL
MB,2026_MB_MB-NO169,850,59.6464,-99.0414,3630,OC,1783054800000,,59.6464,-99.0414,MON
MB,2026_MB_MB-NO168,50,57.4083,-97.2681,3631,OC,1783054800000,,57.4083,-97.2681,MON
MB,2026_MB_MB-NO165,22,58.2581,-96.2861,3632,OC,1783054800000,,58.2581,-96.2861,MON
MB,2026_MB_MB-NO170,2,56.1533,-99.4483,3633,OC,1783054800000,,56.1533,-99.4483,MON
QC,2026_QC_487,0,53.4853,-70.2533,3634,OC,1782648000000,,53.4853,-70.2533,MON
MB,2026_MB_MB-NO171,915,57.2547,-100.9667,3635,OC,1783141200000,,57.2547,-100.9667,MON
QC,2026_QC_485,0,53.2414,-71.5339,3636,OC,1782907200000,,53.2414,-71.5339,MON
QC,2026_QC_484,0,53.45,-71.2897,3637,OC,1782907200000,,53.45,-71.2897,MON
NT,2026_NT_SS032-26,8,60.5536,-118.5322,3638,OC,1783122480000,,60.5536,-118.5322,MON
QC,2026_QC_486,0,53.2608,-70.4278,3641,OC,1782734400000,,53.2608,-70.4278,MON
