Agency,Fire_Name,Hectares__Ha_,Latitude,Longitude,ObjectId,Stage_of_Control,Start_Date,Time_Zone,latitude,longitude,response_type
QC,2026_QC_488,0,53.4544,-69.6231,3642,OC,1782734400000,,53.4544,-69.6231,MON
ON,2026_ON_NIP_FIRE_024,0.3,49.9137,-88.1414,3643,OC,1783186080000,,49.9137,-88.1414,FUL
QC,2026_QC_489,22.4,52.1142,-76.1125,3644,BH,1782586800000,,52.1142,-76.1125,MOD
ON,2026_ON_COC_FIRE_027,342,54.0401,-88.8409,3645,OC,1782748800000,,54.0401,-88.8409,MON
ON,2026_ON_WAW_FIRE_005,0.1,48.6157,-84.6748,3646,UC,1783193100000,,48.6157,-84.6748,FUL
ON,2026_ON_TIM_FIRE_018,2.5,47.349,-80.9159,3647,OC,1783189500000,,47.349,-80.9159,FUL
NT,2026_NT_VQ055-26,1,67.0663,-122.9687,3648,OC,1782925020000,,67.0663,-122.9687,MON
ON,2026_ON_COC_FIRE_029,42.4,55.6647,-88.3265,3649,OC,1783008300000,,55.6647,-88.3265,MON
ON,2026_ON_NOR_FIRE_015,1.2,47.4449,-80.4799,3650,BH,1783198140000,,47.4449,-80.4799,FUL
NT,2026_NT_VQ054-26,445,66.9448,-122.8957,3652,OC,1782763740000,,66.9448,-122.8957,MON
NT,2026_NT_VQ053-26,10,65.9617,-125.3836,3653,OC,1782924840000,,65.9617,-125.3836,MON
ON,2026_ON_COC_FIRE_028,763,54.7445,-88.5433,3654,OC,1783008000000,,54.7445,-88.5433,MON
ON,2026_ON_COC_FIRE_031,5.1,55.1217,-87.6341,3655,OC,1783008900000,,55.1217,-87.6341,MON
ON,2026_ON_COC_FIRE_030,1584.2,55.1299,-87.7281,3656,OC,1783008600000,,55.1299,-87.7281,MON
SK,2026_SK_26LA-TOEWS,869,57.2978,-105.0472,3657,OC,1783198680000,,57.2978,-105.0472,MOD
NT,2026_NT_VQ061-26,19,66.5324,-118.3305,3658,OC,1783205700000,,66.5324,-118.3305,MON
QC,2026_QC_490,6.9,49.3175,-74.1019,3659,BH,1783191600000,,49.3175,-74.1019,FUL
NT,2026_NT_VQ058-26,77,67.816,-129.0535,3660,OC,1782662640000,,67.816,-129.0535,MON
ON,2026_ON_NIP_FIRE_025,0.5,49.598,-88.7516,3661,OC,1783200480000,,49.598,-88.7516,MON
NT,2026_NT_VQ059-26,277,66.635,-122.178,3662,OC,1782925080000,,66.635,-122.178,MON
NT,2026_NT_VQ057-26,2,67.1867,-123.65,3663,OC,1782657180000,,67.1867,-123.65,MON
NT,2026_NT_VQ060-26,4561,66.3691,-117.4572,3664,OC,1782925320000,,66.3691,-117.4572,MON
BC,2026_BC_2026-G50749,0.023,54.5595,-124.8875,3665,BH,1783172880000,,54.5595,-124.8875,FUL
ON,2026_ON_SUD_FIRE_014,0.2,47.0732,-80.7023,3666,OC,1783209660000,,47.0732,-80.7023,FUL
NT,2026_NT_ZF029-26,10,64.4022,-116.379,3667,OC,1783203840000,,64.4022,-116.379,MON
BC,2026_BC_2026-K70748,100,51.2513,-122.2072,3668,OC,1783167960000,,51.2513,-122.2072,MON
NT,2026_NT_VQ056-26,10,67.287,-124.3003,3669,OC,1782657000000,,67.287,-124.3003,MON
MB,2026_MB_MB-NO172,3500,58.1719,-101.9439,3670,OC,1783141200000,,58.1719,-101.9439,MON
BC,2026_BC_2026-K60751,0.15,50.075,-120.1225,3671,BH,1783178100000,,50.075,-120.1225,MON
BC,2026_BC_2026-V10753,0.3,49.9362,-121.4519,3672,OC,1783186980000,,49.9362,-121.4519,MON
BC,2026_BC_2026-V10755,2,49.9475,-121.4584,3673,OC,1783192260000,,49.9475,-121.4584,MON
BC,2026_BC_2026-N70752,0.02,49.1047,-116.6447,3674,OC,1783179060000,,49.1047,-116.6447,FUL
AB,2026_AB_HWF-102-2026,0.1,58.0713,-116.73,3675,BH,1783204440000,,58.0713,-116.73,FUL
