patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00033959,0.00000074,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000108,0.00000001,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00225695,0.00000434,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.00800366,0.00001077,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00043517,0.00000087,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00024546,0.00000054,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00006480,0.00000014,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00003960,0.00000018,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00003542,0.00000015,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000070,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000049,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00000177,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00000223,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00027743,0.00000052,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00017941,0.00000044,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.92905563,0.00170016,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.00001909,0.00000004,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000041,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000113,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00000171,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000026,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000028,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000029,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000024,completed,0.00000180,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000025,completed,0.00000870,0.00000009,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000026,completed,0.02207926,0.00003675,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000027,completed,0.84596419,0.00314272,16,16,4,1,0.300000,0.300000,0,
ab_coarse_000028,completed,0.00000032,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000029,completed,0.00000012,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000030,completed,0.00000068,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000031,completed,0.00000146,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000032,completed,0.00000024,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000033,completed,0.00000021,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000034,completed,0.00000033,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000035,completed,0.00000053,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000036,completed,0.00000164,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000037,completed,0.97793519,0.00154032,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000038,completed,0.83202469,0.00303157,16,16,4,1,0.300000,0.300000,0,
ab_coarse_000039,completed,0.00000469,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000040,completed,0.00000147,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000041,completed,0.00000088,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000042,completed,0.00000022,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000043,completed,0.00000021,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000044,completed,0.00000149,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000045,completed,0.00000026,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000046,completed,0.00000177,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000047,completed,0.00000039,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000048,completed,0.00045936,0.00000096,16,16,0,0,0.300000,0.300000,0,
