patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00034188,0.00000074,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000087,0.00000001,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00117664,0.00000295,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.00046603,0.00000146,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00022278,0.00000054,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00023278,0.00000051,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00009760,0.00000020,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00002680,0.00000020,15,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00003086,0.00000013,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000068,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000058,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00000156,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00000423,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00005095,0.00000017,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00012995,0.00000031,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.93077886,0.00134436,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.00002702,0.00000011,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000039,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000065,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00000681,0.00000003,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000023,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000025,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000029,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000024,completed,0.00000195,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000025,completed,0.00001090,0.00000012,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000026,completed,0.01892789,0.00002965,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000027,completed,0.99785572,0.00196319,16,16,2,1,0.300000,0.300000,0,
ab_coarse_000028,completed,0.00000088,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000029,completed,0.00000013,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000030,completed,0.00000121,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000031,completed,0.00000169,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000032,completed,0.00000021,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000033,completed,0.00000028,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000034,completed,0.00000027,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000035,completed,0.00000084,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000036,completed,0.00000053,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000037,completed,0.77245599,0.00125890,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000038,completed,0.95843607,0.00261219,16,16,3,1,0.300000,0.300000,0,
ab_coarse_000039,completed,0.00000356,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000040,completed,0.00000073,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000041,completed,0.00000063,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000042,completed,0.00000024,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000043,completed,0.00000022,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000044,completed,0.00000169,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000045,completed,0.00000029,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000046,completed,0.00000037,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000047,completed,0.00000027,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000048,completed,0.00021702,0.00000053,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000049,completed,0.03677891,0.00003694,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000050,completed,0.98894173,0.00189116,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000051,completed,0.96979171,0.00110297,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000052,completed,0.00000023,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000053,completed,0.00000028,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000054,completed,0.00000016,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000055,completed,0.00000046,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000056,completed,0.00000015,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000057,completed,0.00000050,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000058,completed,0.00000073,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000059,completed,0.00004119,0.00000012,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000060,completed,0.00048983,0.00000090,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000061,completed,0.00238208,0.00000337,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000062,completed,0.99520075,0.00124403,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000063,completed,0.00031714,0.00000070,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000064,completed,0.00000023,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000065,completed,0.00000020,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000066,completed,0.00000054,0.00000000,14,16,0,0,0.300000,0.300000,0,
