patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00017916,0.00000043,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000104,0.00000001,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00250235,0.00000605,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.01027816,0.00001988,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00016904,0.00000035,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00016532,0.00000035,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00005004,0.00000012,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00099575,0.00000353,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00049304,0.00000176,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000469,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000244,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00000427,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00000433,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00005131,0.00000015,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00012137,0.00000029,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.43484735,0.00106964,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.00001140,0.00000003,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000087,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000740,0.00000006,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00001413,0.00000005,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000108,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000130,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000148,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000024,completed,0.00000726,0.00000003,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000025,completed,0.00002473,0.00000030,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000026,completed,0.01965330,0.00003603,16,18,0,0,0.300000,0.300000,0,
ab_coarse_000027,completed,0.42364901,0.00093469,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000028,completed,0.00000023,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000029,completed,0.00000016,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000030,completed,0.00000253,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000031,completed,0.00000256,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000032,completed,0.00000101,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000033,completed,0.00000063,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000034,completed,0.00000029,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000035,completed,0.00000100,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000036,completed,0.00000322,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000037,completed,0.61733252,0.00108719,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000038,completed,0.18758623,0.00062685,16,13,0,0,0.300000,0.300000,0,
ab_coarse_000039,completed,0.00000425,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000040,completed,0.00000035,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000041,completed,0.00000225,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000042,completed,0.00000015,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000043,completed,0.00000038,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000044,completed,0.00000095,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000045,completed,0.00000069,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000046,completed,0.00000116,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000047,completed,0.00000067,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000048,completed,0.00017537,0.00000037,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000049,completed,0.01168256,0.00001270,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000050,completed,0.99943846,0.00102335,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000051,completed,0.88967878,0.00100907,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000052,completed,0.00000019,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000053,completed,0.00000027,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000054,completed,0.00000015,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000055,completed,0.00000056,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000056,completed,0.00000045,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000057,completed,0.00000062,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000058,completed,0.00000122,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000059,completed,0.00000135,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000060,completed,0.00004851,0.00000013,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000061,completed,0.00079998,0.00000152,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000062,completed,0.99765152,0.00098027,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000063,completed,0.02406084,0.00002889,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000064,completed,0.00000024,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000065,completed,0.00000027,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000066,completed,0.00000025,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000067,completed,0.00000077,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000068,completed,0.00000076,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000069,completed,0.00000071,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000070,completed,0.00000036,0.00000000,14,16,0,0,0.300000,0.300000,0,
