patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00015817,0.00000038,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000072,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00168601,0.00000362,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.00013482,0.00000035,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00024570,0.00000061,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00009969,0.00000024,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00004566,0.00000012,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00003362,0.00000028,15,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00007080,0.00000029,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000111,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000063,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00000095,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00000169,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00014803,0.00000031,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00011295,0.00000027,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.45422101,0.00110270,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.64772874,0.00120498,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000244,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000354,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00000417,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000029,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000026,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000027,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000024,completed,0.00000548,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000025,completed,0.00001956,0.00000026,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000026,completed,0.01605415,0.00003522,16,18,0,0,0.300000,0.300000,0,
ab_coarse_000027,completed,0.99873620,0.00147626,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000028,completed,0.00000209,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000029,completed,0.00000043,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000030,completed,0.00000285,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000031,completed,0.00000261,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000032,completed,0.00000027,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000033,completed,0.00000026,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000034,completed,0.00000023,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000035,completed,0.00000082,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000036,completed,0.00000081,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000037,completed,0.05030026,0.00016417,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000038,completed,0.99764365,0.00350503,16,16,3,1,0.300000,0.300000,0,
ab_coarse_000039,completed,0.00000380,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000040,completed,0.00000190,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000041,completed,0.00000167,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000042,completed,0.00000029,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000043,completed,0.00000021,0.00000000,14,18,0,0,0.300000,0.300000,0,
ab_coarse_000044,completed,0.00000050,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000045,completed,0.00000015,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000046,completed,0.00000025,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000047,completed,0.00000020,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000048,completed,0.00033693,0.00000078,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000049,completed,0.00262420,0.00000453,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000050,completed,0.99989784,0.00098598,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000051,completed,0.99555743,0.00102923,16,16,1,1,0.300000,0.300000,0,
