patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00014448,0.00000035,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000229,0.00000001,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00192319,0.00000862,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.00140290,0.00000305,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00041538,0.00000097,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00012128,0.00000028,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00006539,0.00000016,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00017432,0.00000082,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00014164,0.00000066,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000302,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000125,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00000204,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00000341,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00011926,0.00000032,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00016456,0.00000040,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.71980441,0.00173216,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.00011677,0.00000105,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000455,0.00000004,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000160,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00000863,0.00000003,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000070,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000076,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000074,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000024,completed,0.00000112,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000025,completed,0.00000197,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000026,completed,0.01533192,0.00003368,16,18,0,0,0.300000,0.300000,0,
ab_coarse_000027,completed,0.52586299,0.00159385,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000028,completed,0.00000236,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000029,completed,0.00000005,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000030,completed,0.00000110,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000031,completed,0.00000231,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000032,completed,0.00000060,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000033,completed,0.00000033,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000034,completed,0.00000041,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000035,completed,0.00000071,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000036,completed,0.00000062,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000037,completed,0.90558934,0.00153110,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000038,completed,0.53330803,0.00206245,16,13,3,1,0.300000,0.300000,0,
ab_coarse_000039,completed,0.00000473,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000040,completed,0.00000166,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000041,completed,0.00000149,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000042,completed,0.00000047,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000043,completed,0.00000022,0.00000000,14,16,0,0,0.300000,0.300000,0,
