candidate_id,patch_id,row,col,probability,candidate_threshold,cell_xmin,cell_ymin,cell_xmax,cell_ymax,coarse_xmin,coarse_ymin,coarse_xmax,coarse_ymax,crs
ab_coarse_000027_r16_c16,ab_coarse_000027,16,16,0.73866552,0.300000,-1360000.000,239000.000,-1359000.000,240000.000,-1376000.000,224000.000,-1344000.000,256000.000,EPSG:3979
ab_coarse_000034_r16_c16,ab_coarse_000034,16,16,0.35161385,0.300000,-1136000.000,239000.000,-1135000.000,240000.000,-1152000.000,224000.000,-1120000.000,256000.000,EPSG:3979
ab_coarse_000037_r16_c16,ab_coarse_000037,16,16,0.88880450,0.300000,-1392000.000,271000.000,-1391000.000,272000.000,-1408000.000,256000.000,-1376000.000,288000.000,EPSG:3979
ab_coarse_000038_r16_c04,ab_coarse_000038,16,4,0.37342134,0.300000,-1372000.000,271000.000,-1371000.000,272000.000,-1376000.000,256000.000,-1344000.000,288000.000,EPSG:3979
ab_coarse_000038_r16_c12,ab_coarse_000038,16,12,0.32108149,0.300000,-1364000.000,271000.000,-1363000.000,272000.000,-1376000.000,256000.000,-1344000.000,288000.000,EPSG:3979
ab_coarse_000038_r16_c13,ab_coarse_000038,16,13,0.57811505,0.300000,-1363000.000,271000.000,-1362000.000,272000.000,-1376000.000,256000.000,-1344000.000,288000.000,EPSG:3979
ab_coarse_000038_r16_c14,ab_coarse_000038,16,14,0.33418787,0.300000,-1362000.000,271000.000,-1361000.000,272000.000,-1376000.000,256000.000,-1344000.000,288000.000,EPSG:3979
ab_coarse_000038_r16_c16,ab_coarse_000038,16,16,0.74263096,0.300000,-1360000.000,271000.000,-1359000.000,272000.000,-1376000.000,256000.000,-1344000.000,288000.000,EPSG:3979
ab_coarse_000044_r16_c16,ab_coarse_000044,16,16,0.44187877,0.300000,-1168000.000,271000.000,-1167000.000,272000.000,-1184000.000,256000.000,-1152000.000,288000.000,EPSG:3979
ab_coarse_000045_r16_c16,ab_coarse_000045,16,16,0.35803872,0.300000,-1136000.000,271000.000,-1135000.000,272000.000,-1152000.000,256000.000,-1120000.000,288000.000,EPSG:3979
ab_coarse_000046_r16_c16,ab_coarse_000046,16,16,0.42744228,0.300000,-1104000.000,271000.000,-1103000.000,272000.000,-1120000.000,256000.000,-1088000.000,288000.000,EPSG:3979
ab_coarse_000050_r16_c16,ab_coarse_000050,16,16,0.93925112,0.300000,-1360000.000,303000.000,-1359000.000,304000.000,-1376000.000,288000.000,-1344000.000,320000.000,EPSG:3979
ab_coarse_000051_r16_c16,ab_coarse_000051,16,16,0.64452058,0.300000,-1328000.000,303000.000,-1327000.000,304000.000,-1344000.000,288000.000,-1312000.000,320000.000,EPSG:3979
ab_coarse_000059_r16_c16,ab_coarse_000059,16,16,0.41518867,0.300000,-1072000.000,303000.000,-1071000.000,304000.000,-1088000.000,288000.000,-1056000.000,320000.000,EPSG:3979
ab_coarse_000062_r16_c16,ab_coarse_000062,16,16,0.98713952,0.300000,-1360000.000,335000.000,-1359000.000,336000.000,-1376000.000,320000.000,-1344000.000,352000.000,EPSG:3979
ab_coarse_000067_r16_c16,ab_coarse_000067,16,16,0.39820111,0.300000,-1200000.000,335000.000,-1199000.000,336000.000,-1216000.000,320000.000,-1184000.000,352000.000,EPSG:3979
ab_coarse_000069_r16_c16,ab_coarse_000069,16,16,0.70807487,0.300000,-1136000.000,335000.000,-1135000.000,336000.000,-1152000.000,320000.000,-1120000.000,352000.000,EPSG:3979
ab_coarse_000071_r16_c16,ab_coarse_000071,16,16,0.64615661,0.300000,-1072000.000,335000.000,-1071000.000,336000.000,-1088000.000,320000.000,-1056000.000,352000.000,EPSG:3979
ab_coarse_000072_r16_c16,ab_coarse_000072,16,16,0.73617917,0.300000,-1040000.000,335000.000,-1039000.000,336000.000,-1056000.000,320000.000,-1024000.000,352000.000,EPSG:3979
ab_coarse_000074_r16_c16,ab_coarse_000074,16,16,0.98121142,0.300000,-1360000.000,367000.000,-1359000.000,368000.000,-1376000.000,352000.000,-1344000.000,384000.000,EPSG:3979
ab_coarse_000082_r16_c16,ab_coarse_000082,16,16,0.47014534,0.300000,-1104000.000,367000.000,-1103000.000,368000.000,-1120000.000,352000.000,-1088000.000,384000.000,EPSG:3979
ab_coarse_000083_r16_c16,ab_coarse_000083,16,16,0.31621200,0.300000,-1072000.000,367000.000,-1071000.000,368000.000,-1088000.000,352000.000,-1056000.000,384000.000,EPSG:3979
ab_coarse_000084_r16_c16,ab_coarse_000084,16,16,0.48759842,0.300000,-1040000.000,367000.000,-1039000.000,368000.000,-1056000.000,352000.000,-1024000.000,384000.000,EPSG:3979
ab_coarse_000085_r16_c16,ab_coarse_000085,16,16,0.55616051,0.300000,-1392000.000,399000.000,-1391000.000,400000.000,-1408000.000,384000.000,-1376000.000,416000.000,EPSG:3979
ab_coarse_000086_r16_c16,ab_coarse_000086,16,16,0.97804809,0.300000,-1360000.000,399000.000,-1359000.000,400000.000,-1376000.000,384000.000,-1344000.000,416000.000,EPSG:3979
ab_coarse_000099_r16_c16,ab_coarse_000099,16,16,0.66782093,0.300000,-1392000.000,431000.000,-1391000.000,432000.000,-1408000.000,416000.000,-1376000.000,448000.000,EPSG:3979
ab_coarse_000100_r16_c16,ab_coarse_000100,16,16,0.94020230,0.300000,-1360000.000,431000.000,-1359000.000,432000.000,-1376000.000,416000.000,-1344000.000,448000.000,EPSG:3979
ab_coarse_000113_r16_c16,ab_coarse_000113,16,16,0.82519019,0.300000,-1392000.000,463000.000,-1391000.000,464000.000,-1408000.000,448000.000,-1376000.000,480000.000,EPSG:3979
ab_coarse_000114_r16_c16,ab_coarse_000114,16,16,0.98095107,0.300000,-1360000.000,463000.000,-1359000.000,464000.000,-1376000.000,448000.000,-1344000.000,480000.000,EPSG:3979
ab_coarse_000124_r16_c16,ab_coarse_000124,16,16,0.53826982,0.300000,-1040000.000,463000.000,-1039000.000,464000.000,-1056000.000,448000.000,-1024000.000,480000.000,EPSG:3979
ab_coarse_000129_r16_c16,ab_coarse_000129,16,16,0.96581715,0.300000,-1360000.000,495000.000,-1359000.000,496000.000,-1376000.000,480000.000,-1344000.000,512000.000,EPSG:3979
